ID,DUP,First Name,Last Name,Marital Status,Race,DOB,SSN,Income,Credit Card Number,City,ZIP Code,Telephone Number
1001,0,Luke,Jaric,Married,Asian,7/10/1968,376-76-9849,10103.9,4886 2506 7467 0819,Washington DC,20022,623-267-1889
1002,0,Kayne,Longhurst,Married,Hispanic,8/8/1973,257-26-0201,31206.9,2025 0126 7554 3613,Washington DC,20006,417-283-2412
1003,0,Tyron,Rau,Married,White,5/25/1991,003-91-4610,48677.3,1915 3160 2544 9912,Washington DC,20004,956-224-0530
1005,0,Daniel,Grimwade,Married,Asian,7/10/1954,614-55-6413,51146,7630 0951 2958 0709,Washington DC,20018,361-333-8315
1006,0,Harvey,Pascoe,Divorced,Black,5/15/1980,511-49-1782,49767.9,1967 3587 9147 6740,Washington DC,20013,804-482-6364
1007,0,Trevor,George,Never Married,White,8/11/1978,505-09-9675,38463.2,5099 4144 5487 5601,Washington DC,20020,828-723-6043
1008,0,Karissa,Campbell,Married,Others,6/26/1968,485-61-9666,33633.2,8457 2583 1046 5895,Washington DC,20002,212-681-1773
1009,0,Jayme,Beemster,Divorced,Black,12/11/1985,218-64-0190,41277.6,9004 8757 2275 7478,Washington DC,20004,724-021-2525
1010,0,Danielle,Spargo,Married,Hispanic,3/22/1972,713-36-9001,82251.2,3326 6300 7581 6399,Washington DC,20013,260-375-3044
1011,0,Ethan,Clarke,Married,White,9/3/1981,638-11-0983,204649.2,2741 2201 8604 4889,Washington DC,20002,234-995-5534
1012,0,Trinity,Mcneill,Never Married,White,5/8/1979,152-62-4083,66679.5,2934 2072 6042 3185,Washington DC,20015,520-544-8807
1013,0,Taliah,Staude,Married,White,6/24/1954,176-03-9379,166134.9,4029 4369 6201 0727,Washington DC,20018,313-519-3459
1014,0,Ben,Clarke,Married,White,10/2/1968,121-08-2155,29681.8,4656 6016 0778 9298,Washington DC,20013,417-999-9048
1015,0,Jaden,Gracie,Married,Hispanic,10/17/1968,098-28-0581,108696.2,7337 1448 3706 5925,Washington DC,20008,386-160-7226
1016,0,Kade,Dixon,Married,White,7/25/1950,396-98-8979,77497.7,0980 0683 9038 2675,Washington DC,20017,760-399-7958
1017,0,Kiara,Kellow,Married,White,2/21/1957,305-22-0947,49913.3,1116 6409 0941 9097,Washington DC,20005,360-672-5947
1018,0,Sophie,Rees,Married,Black,11/29/1972,300-84-6055,56720.8,4746 4021 4953 5761,Washington DC,20020,212-581-9289
1019,0,Teagan,Burman,Married,White,5/4/1954,557-50-7311,79066,7617 7808 8569 6403,Washington DC,20005,435-463-0240
1020,0,Kyle,Coleman,Divorced,Others,10/9/1996,058-25-0502,23694,3522 2883 8661 2223,Washington DC,20004,669-225-2576
1021,0,Daniel,Campbell,Married,White,8/9/1965,103-73-6279,69935.5,0992 0503 8800 7429,Washington DC,20006,512-794-8800
1022,0,Luca,Havriluk,Married,Asian,1/13/1989,316-21-2577,95206.3,7637 6083 9327 6233,Washington DC,20010,269-819-0940
1023,0,Amelia,Procter,Divorced,White,1/23/1951,704-55-0219,25528.2,8543 8153 9401 0153,Washington DC,20013,970-642-6973
1025,0,Lillianna,Neville,Divorced,Others,4/18/1962,120-54-7728,111051.9,2208 2035 9533 7221,Washington DC,20009,501-567-1551
1026,0,Nathan,Jevons,Never Married,White,6/29/1973,450-44-3387,92555.7,1891 6695 4808 4137,Washington DC,20011,470-849-7077
1027,0,Michael,Brock,Married,White,7/18/1981,665-31-0007,114946.8,4610 3421 0479 0735,Washington DC,20017,213-383-9910
1028,0,Gabrielle,Barbuto,Married,White,1/6/1974,655-87-0523,33234.6,9772 9935 9524 1541,Washington DC,20017,203-624-7611
1029,0,David,Mierisch,Divorced,Hispanic,11/27/1965,393-35-6457,33719.8,4957 4517 0307 9302,Washington DC,20005,309-330-0160
1030,0,Emiily,Vincent,Married,White,7/14/1952,176-35-0286,74236.8,9968 2679 1960 3932,Washington DC,20006,417-639-0720
1031,0,Carlin,Spagnoletti,Married,White,11/6/1952,124-68-9529,15420.3,2108 4575 5599 0074,Washington DC,20013,952-429-0387
1033,0,Byron,Reid,Widowed,Hispanic,11/24/1986,433-80-7146,99426.4,2103 1057 1333 6470,Washington DC,20020,805-787-3556
1035,0,William,Solito,Never Married,White,11/22/1953,641-33-0142,25587.6,2741 1818 8738 5733,Washington DC,20002,930-279-1488
1036,0,Jordan,Morrison,Never Married,White,5/23/1957,710-65-5932,103754.2,3301 0648 6409 2698,Washington DC,20007,774-992-8868
1039,0,Hannah,Khider,Never Married,White,8/6/1953,370-38-6662,84196.1,2687 4661 8451 7978,Washington DC,20017,859-557-0809
1041,0,Shenae,Blake,Never Married,White,8/24/1951,114-06-9553,69117.6,8526 5868 9194 0982,Washington DC,20003,947-246-0518
1042,0,Maddison,Lowe,Married,Asian,3/9/1995,124-31-9300,41201.2,0863 7757 8959 1014,Washington DC,20001,781-637-0948
1043,0,Naomi,Tant,Married,White,10/2/1997,183-80-5211,117409.5,9930 7932 8905 5098,Washington DC,20009,813-232-0414
1044,0,James,Matthews,Married,Hispanic,9/21/1988,609-12-8395,108078.6,8166 3918 2195 5934,Washington DC,20005,602-527-7218
1045,0,Luke,Homann,Never Married,Black,3/23/1981,698-38-1027,73476.6,3324 6458 1033 6677,Washington DC,20011,857-531-6702
1046,0,Bella,Reid,Married,White,7/11/1981,379-26-2762,31601.3,2928 0875 1311 5153,Washington DC,20018,413-892-7879
