ID,DUP,First Name,Last Name,Marital Status,Race,DOB,SSN,Income,Credit Card Number,City,ZIP Code,Telephone Number
1003,1,Tyron,Rau,,White,5/25/1991,,NA,1915 3160 2544 39912,Washington DC,20004,956-224-0530
1011,1,Ethan,Claahke,Married,White,9/3/1981,638-11-0983,NA,2741 2201 8604 48890,Washington DC,20002,
1013,0,Taliah,Staude,Married,White,6/24/1954,176-03-9379,166134.9,4029 4369 6201 0727,Washington DC,20018,313-519-3459
1017,0,Kiara,Kellow,Married,White,2/21/1957,305-22-0947,49913.3,1116 6409 0941 9097,Washington DC,20005,360-672-5947
1028,0,Gabrielle,Barbuto,Married,White,1/6/1974,655-87-0523,33234.6,9772 9935 9524 1541,Washington DC,20017,203-624-7611
1029,1,David,Mierix,Divorced,,11/27/1965,393-35-6457,NA,4957 4517 0307 9302,Washington DC,20005,
1031,0,Carlin,Spagnoletti,Married,White,11/6/1952,124-68-9529,15420.3,2108 4575 5599 0074,Washington DC,20013,952-429-0387
1036,1,Jortan,Morrison,,White,5/23/1957,710-65-5932,NA,33010648 6409 2698,Washington DC,20007,774-992-8868
1040,0,Marley,Webb,Never Married,Asian,5/27/1948,566-33-9955,41779.9,7512 2616 1227 2381,Washington DC,20006,570-630-8003
1041,1,Shena,Blake,,,8/24/1951,114-06-9553,69117.6,8526 58628 9194 0982,Washington DC,20003,947-246-0518
1043,1,Naomi,Tant,Married,,10/2/1997,,NA,9930 7932 905 5098,Washington DC,20009,813-232-0414
1049,0,Joshua,Doman,Divorced,White,6/6/1994,661-44-7209,63022.3,5030 9746 7605 8299,Washington DC,20010,540-291-6196
1054,1,Samuel,Fajri,Married,,1/10/1976,667-39-9373,NA,5422 3676 12408 7623,Washington DC,20018,
1061,1,Jessica,Jaudzems,,,10/20/1964,392-37-1251,64475.8,1238 70106 5634 4485,Washington DC,20001,
1070,0,Samuel,Gulliver,Never Married,Others,9/3/1989,127-48-9499,199468.6,9193 2249 0125 7873,Washington DC,20002,760-529-9679
1072,0,Imogen,Nguyen,Widowed,White,11/15/1972,529-03-3445,33707.9,3352 3677 6841 1914,Washington DC,20001,848-797-5553
1074,0,Clement,Stephenson,Married,White,4/25/1955,601-47-5785,46179.6,5737 1162 6115 7426,Washington DC,20015,616-936-4874
1075,0,Hannah,Marson,Married,Asian,7/25/1975,651-61-6201,41472.9,1616 9051 8953 6020,Washington DC,20006,435-634-0359
1076,0,Juliana,Fair,Never Married,White,8/26/1968,423-11-9607,55664.2,0190 3629 3614 0270,Washington DC,20012,272-826-2032
1079,0,Phoebe,Gold,Married,Asian,11/18/1958,507-73-3371,55439,6251 7189 6958 9467,Washington DC,20002,717-972-4719
1081,1,Eva,Shepherd,Married,,6/29/1968,,31277.9,4031 13307 1462 5691,Washington DC,20015,
1082,0,William,Chittleborough,Never Married,Black,3/24/1986,054-80-4384,35376.7,6405 2570 9673 1305,Washington DC,20019,310-582-7182
1098,0,James,Sherriff,Married,Others,1/17/1960,344-05-8449,102403.6,0903 0575 8296 2606,Washington DC,20018,870-200-4488
1107,1,Willian,White,Married,Black,3/21/1973,,75399.7,0030 1804 842 8265,Washington DC,20007,
1109,1,Katherine,Stephenson,Never Married,,3/12/1948,,35415.2,8785 521 0218 4315,Washington DC,20004,
1111,1,Mikhael,Quilliam,,,9/10/1951,222-63-7590,66931.3,7769 8759 39942649,Washington DC,20004,813-860-9230
1117,0,Dylan,Kempe,Never Married,Hispanic,5/9/1969,438-94-5775,449378.9,1047 3683 5715 2455,Washington DC,20011,216-060-1806
1135,1,Brandon,Berry,Married,,7/4/1961,,105897.6,6722 72919676 3502,Washington DC,20004,
1137,0,Christina,White,Married,White,2/1/1960,661-96-1749,11693.6,5124 0818 5602 5052,Washington DC,20012,979-062-3073
1158,0,Benjamin,Vincent,Married,White,9/22/1969,180-83-6833,81396.7,2487 8059 3647 7827,Washington DC,20010,480-473-7655
1169,0,Brooklyn,Blacklow,Divorced,White,9/6/1968,535-72-2926,138687.2,4777 1011 0230 8939,Washington DC,20013,417-259-5692
1175,0,Callie,Seychell,Widowed,White,11/22/1965,670-65-2956,85264,1724 3916 1534 5129,Washington DC,20022,908-653-4643
1181,1,Jackston,Brock,Never Married,Asian,10/1/1971,563-43-5904,NA,3493 5805 8943 177,Washington DC,20001,
1186,1,Charlez,Webb,Never Married,,6/30/1969,622-97-7887,NA,0270 3437 9632 4558,Washington DC,20013,
1189,0,Laura,Paterson,Married,Black,4/4/1990,123-18-5721,14853.3,0133 3595 8452 9794,Washington DC,20005,806-985-0468
1190,0,Travis,Gehling,Married,White,6/21/1968,367-72-4917,109113.5,4503 9435 6299 4829,Washington DC,20008,949-942-3799
1192,0,Sonja,Browne,Married,White,9/16/1986,350-73-7788,56331.8,4175 7027 8616 7307,Washington DC,20015,646-574-5691
1194,0,Aidyn,Mcdermid,Never Married,White,6/24/1981,599-14-4214,11002.2,5885 2833 5599 4331,Washington DC,20004,253-155-8361
1199,0,Tai,Huddy,Married,White,6/8/1956,727-37-2816,124876.6,2438 7389 7780 2804,Washington DC,20011,337-551-9527
1202,0,Sophie,Green,Never Married,White,9/21/1966,248-64-0779,39386,4168 3795 9225 7743,Washington DC,20013,623-616-7836
1210,0,Chelsie,Green,Married,White,3/24/1961,313-01-4041,28616.5,7491 9678 5537 1152,Washington DC,20022,985-075-9463
1213,0,Ruby,Ferrar,Never Married,White,12/16/1957,553-60-2544,157900.7,8023 0101 1878 0974,Washington DC,20013,513-371-7096
1216,1,Blageston,Wauop,Married,,12/14/1947,344-01-6126,106330.5,6733 2729 1004 4762,Washington DC,20006,
1226,0,Kelsey,Morrison,Never Married,White,2/12/1954,092-17-5766,97812.7,9324 3910 4683 2967,Washington DC,20001,913-188-5872
1227,0,Jasmine,Mcdermid,Married,Asian,12/28/1985,112-24-3325,88215.2,4113 5060 4641 3798,Washington DC,20002,262-690-8762
1228,0,Amy,Brock,Married,White,4/15/1949,296-28-2877,68604.5,0686 1385 1480 8862,Washington DC,20017,662-684-4327
1230,0,Taylah,Parremore,Never Married,White,11/7/1968,388-64-0281,90023.4,7611 2853 0686 5981,Washington DC,20010,762-225-4537
1233,1,Olifer,Wilde,,Hispanic,9/30/1970,,83660.1,0710 7711 5052  9912,Washington DC,20015,913-644-9320
1235,1,Archeah,Beal,Married,,11/17/1949,348-63-9850,64425.8,3930 37435 5193 9475,Washington DC,20010,
1242,0,William,Silson,Married,White,3/25/1964,710-53-4928,99364.5,8357 0362 5418 7085,Washington DC,20004,401-421-8594
1249,0,Chloe,Matthews,Divorced,White,1/29/1987,123-03-1233,93158.4,6711 6991 5197 1316,Washington DC,20007,252-374-0715
1253,0,Emiily,Pascoe,Married,White,2/14/1956,215-43-6591,203468.7,5303 1215 2335 3978,Washington DC,20020,308-263-6019
1255,0,Kyle,Zimmermann,Married,White,6/21/1971,065-23-4202,41786.1,4615 3145 3549 8558,Washington DC,20016,716-271-1685
1259,1,Jozhua,Cochrane,,,9/29/1953,,64136.6,8242 7834 5061 6913,Washington DC,20005,401-619-8819
1268,0,Oscar,Tiller,Never Married,White,6/14/1974,641-50-2089,174386.6,7513 7755 2982 9171,Washington DC,20016,229-295-6372
1270,0,Imogen,Tapper,Never Married,Black,2/27/1964,357-08-9529,87840.3,0612 7929 3680 8957,Washington DC,20006,930-131-6737
1271,0,Angus,Lindholm,Married,Hispanic,5/18/1964,590-50-2964,36848,2958 3739 9247 5729,Washington DC,20006,508-001-3159
1272,1,Samuel,Hirose,Divorced,,12/13/1988,632-74-4849,NA,9974 6130 0074 30040,Washington DC,20015,
1277,1,Amy,White,,,3/26/1997,,135055.6,2600 9968 437 8698,Washington DC,20020,440-908-0641
1278,1,Lachlari-john,Howi,Married,White,1/23/1987,661-69-3957,NA,8756 4006 2723 7438,Washington DC,20022,
1285,0,Billy,Bouras,Married,White,7/20/1994,461-19-2463,24755.9,6371 4827 1704 2718,Washington DC,20001,917-082-0744
1290,0,Christian,Lock,Married,White,8/12/1950,348-69-5219,79621.8,1231 0899 4105 2389,Washington DC,20019,786-980-1101
1293,1,Reupen,Jankek,Married,White,5/25/1954,573-67-6720,NA,9841 49880 9186 3057,Washington DC,20002,651-430-7625
1296,1,Sarra,Mccarthi,,White,4/14/1984,145-46-0411,87840.7,8764 4301 578 0839,Washington DC,20001,224-561-8154
1301,0,Amber,Benger,Never Married,White,7/11/1981,285-10-7628,62922.1,8110 8219 4731 5674,Washington DC,20011,432-717-2601
1303,0,Lachlan-john,Vallesi,Married,Black,3/26/1972,677-68-8082,68645.5,9088 8856 0159 6604,Washington DC,20010,380-734-5553
1305,1,Samanta,Whjte,,,8/12/1966,597-04-8430,76150.6,1336 3776 2834 4782,Washington DC,20012,205-127-0108
1309,0,Emma,White,Married,Black,8/11/1966,109-23-3016,23317.4,9355 4633 1373 9707,Washington DC,20010,346-733-7133
1312,0,Makayla,Stancliffe,Never Married,White,8/14/1957,334-29-3423,35347.8,9602 3509 8754 6803,Washington DC,20013,339-918-4379
1314,1,Sara,Webb,,,6/9/1993,,143136.7,6917 8235 473 5713,Washington DC,20008,364-563-2910
1320,0,Lily,White,Married,White,9/11/1948,446-29-7069,75933.7,3880 6358 8606 7262,Washington DC,20015,415-099-0258
1323,0,Julia,Babic,Married,White,4/1/1996,192-70-3821,142114.1,2817 7101 7063 1309,Washington DC,20006,360-886-8755
